train,test,norm,pos,quat
1.9630778,1.033846,0.08529523,17.088318,0.27301842
0.9382107,0.764638,0.012737853,7.724072,0.18281078
0.66457087,0.6857919,0.0075714327,5.250783,0.15415049
0.54530936,0.44063997,0.007022984,4.2069902,0.1376756
0.48264098,0.4714544,0.0063106813,3.689889,0.12557887
0.43503064,0.40135053,0.005577255,3.2933183,0.116823435
0.39943084,0.37631318,0.005085303,2.998912,0.110034555
0.37961522,0.3199568,0.004648162,2.8482916,0.104801394
0.3542214,0.3435123,0.004251546,2.6357703,0.10024358
0.3484974,0.4166551,0.004004551,2.607574,0.09704392
0.32729098,0.29646483,0.0038811157,2.421506,0.0941692
0.3114367,0.3098035,0.003701435,2.2968264,0.090426624
0.31393754,0.2521272,0.0036281638,2.3242404,0.09016741
0.29252547,0.29492906,0.003460417,2.1300745,0.08796891
0.2780619,0.2770085,0.0032901897,2.0088577,0.08538565
0.27547532,0.27207756,0.0032241205,1.9971149,0.08382379
0.25788465,0.21680544,0.0030912773,1.8410408,0.081634924
0.26065642,0.24006972,0.0030291884,1.8796747,0.08042891
0.25011057,0.23413204,0.0029490932,1.7860425,0.07912381
0.24799477,0.25196508,0.0028613291,1.7772486,0.07775975
0.2400643,0.19256915,0.0028019794,1.7092702,0.07650787
0.22883415,0.20993361,0.002718654,1.6095507,0.07511913
0.22741446,0.23008303,0.0026605488,1.6050766,0.07404527
0.22338726,0.21114172,0.0025863477,1.5736625,0.073069304
0.21389273,0.18251196,0.0025149523,1.4878931,0.0720577
0.21932563,0.16184634,0.002468346,1.5459225,0.0716517
0.21390694,0.1843051,0.0023879423,1.5026336,0.07044976
0.20874752,0.17379403,0.002314154,1.4584408,0.069635585
0.20575911,0.16386133,0.0022607134,1.4376419,0.06863204
0.2147145,0.16441743,0.0022449805,1.531423,0.06816411
0.21424843,0.1365934,0.0022199294,1.5353048,0.06721775
0.19654983,0.16292854,0.0021640046,1.3720787,0.06569508
0.18868545,0.14863627,0.0020767138,1.3046395,0.0644598
0.20984079,0.16703235,0.0020698681,1.4964708,0.06665191
0.19014947,0.16640598,0.0020361776,1.305675,0.06597595
0.18760884,0.13348335,0.0019937023,1.2854784,0.06540182
0.18092498,0.18034708,0.0019379562,1.224545,0.06475187
0.19068778,0.19733092,0.0018918393,1.3223467,0.06473768
0.18455091,0.17875895,0.0018832021,1.283641,0.062220544
0.17327774,0.15063764,0.0018172917,1.1810391,0.06110231
0.17374556,0.18362342,0.0017595852,1.1881244,0.060841277
0.17628136,0.27064204,0.0017149211,1.2092552,0.061315928
0.18331149,0.13934691,0.0017218703,1.2677263,0.062629655
0.18521143,0.16227667,0.0017223686,1.2915286,0.06209594
0.16999461,0.16089843,0.0017006265,1.139397,0.06209427
0.16863294,0.16092902,0.0016531115,1.1303583,0.061590888
0.16371034,0.1472305,0.0016258439,1.0857651,0.06107916
0.16386731,0.14198238,0.001591712,1.0906231,0.06071759
0.16108307,0.14994775,0.0015579481,1.0668521,0.06026897
0.1609009,0.14664926,0.0015194567,1.0681356,0.05992822
0.116155766,0.09703206,0.0014619656,0.6388006,0.057921678
0.119705476,0.0839957,0.0014093193,0.67477983,0.057873957
0.115829185,0.102908604,0.0013860563,0.6391108,0.057532776
0.113035604,0.11582166,0.0013515279,0.6139283,0.05723069
0.11254746,0.10638149,0.0013229032,0.6108719,0.057031084
0.112837024,0.111602366,0.0012985053,0.61510885,0.056884766
0.11241177,0.1142258,0.0012744425,0.61255085,0.056699157
0.11086391,0.11585091,0.0012530949,0.5985882,0.05653309
0.11117911,0.08642013,0.0012341844,0.6032641,0.05636587
0.11305614,0.106359,0.0012142537,0.62446296,0.05609824
0.11212454,0.10842927,0.0012065738,0.6262065,0.05487025
0.11036496,0.08925174,0.0011824283,0.60136753,0.055677734
0.11114923,0.12493766,0.0011659885,0.6097367,0.055621073
0.11535072,0.113529906,0.0011602861,0.6613213,0.054558408
0.11374064,0.097929075,0.0011556491,0.6468476,0.05437813
0.10577859,0.095247716,0.0011422287,0.57417655,0.053607464
0.105659164,0.09950763,0.0011256599,0.574685,0.05342011
0.1079746,0.10097933,0.0011060133,0.597204,0.053492885
0.11417432,0.09863013,0.0010976156,0.6567852,0.053762265
0.105317146,0.10310923,0.0010847661,0.57493436,0.053016927
0.10594872,0.092717335,0.0010745968,0.58099174,0.053046755
0.10357052,0.09460704,0.0010606511,0.5598032,0.052760154
0.10320473,0.09887149,0.0010446903,0.5578846,0.052568667
0.1025753,0.103749886,0.0010343257,0.5525476,0.05246347
0.102333575,0.11741627,0.0010217876,0.5509436,0.05237448
0.101847336,0.08935572,0.001011689,0.54731226,0.05223882
0.10170078,0.09779645,0.0009997593,0.54703736,0.052107863
0.1017935,0.08206752,0.0009919257,0.54881,0.05201478
0.101391435,0.10581934,0.0009801242,0.5456053,0.051925436
0.101500355,0.100983806,0.0009710764,0.5475415,0.051832326
0.10016854,0.09771031,0.00096351566,0.5353956,0.051702917
0.10806779,0.08639648,0.00096534635,0.5983944,0.05347979
0.10316048,0.102444045,0.0009467993,0.55826515,0.052488096
0.099490315,0.09142072,0.0009382219,0.52989626,0.051563196
0.09888424,0.07757158,0.0009299163,0.52520454,0.051411994
0.099213585,0.09600232,0.0009234273,0.5297778,0.0512705
0.09816164,0.111151464,0.0009131807,0.52029234,0.051156767
0.098322906,0.104616515,0.00090616924,0.5224922,0.051092304
0.09793078,0.09482392,0.0008960689,0.51944906,0.050995853
0.09852845,0.09494227,0.000888301,0.5259151,0.05094235
0.11487525,0.09081983,0.00090137013,0.666332,0.05350212
0.10009889,0.08303145,0.0009009973,0.51954913,0.053393204
0.09743106,0.09233573,0.00088431727,0.4976223,0.052867115
0.09815583,0.093689494,0.00087623287,0.50553167,0.05279448
0.09824314,0.10407757,0.0008658165,0.5082818,0.052587092
0.09656741,0.09172742,0.00085280184,0.49375784,0.05234038
0.09857964,0.08900393,0.00084894925,0.51351655,0.052381214
0.09830187,0.094161876,0.0008444169,0.5106326,0.052393526
0.0996629,0.09532085,0.00084732,0.5223527,0.05260322
0.09719756,0.08467907,0.0008309188,0.50140214,0.052193616
0.08333967,0.078513056,0.0008243194,0.3673642,0.051689796
0.082987234,0.06989355,0.00081756175,0.36430442,0.051638935
0.08294543,0.09975762,0.0008132291,0.3640557,0.051620595
0.08301681,0.09127621,0.00080754585,0.36508763,0.05158588
0.082974076,0.07557851,0.00080384663,0.36497265,0.051551588
0.08380857,0.08360339,0.00080020324,0.3730697,0.051579528
0.08261159,0.08533219,0.00079722516,0.3618363,0.051498037
0.083406806,0.08215999,0.00079513923,0.36938274,0.051543355
0.08275019,0.08725097,0.0007892124,0.36355716,0.05146172
0.0822651,0.06879438,0.0007831094,0.3593874,0.05138672
0.08214718,0.07605907,0.0007790151,0.3585055,0.05135414
0.0820667,0.108418524,0.0007753208,0.35791355,0.051330905
0.08188075,0.072158135,0.0007710814,0.35657147,0.05127389
0.08188465,0.08950711,0.00076752633,0.35681528,0.05125153
0.08177337,0.05924618,0.0007642722,0.35595715,0.05122359
0.08162218,0.0899989,0.0007624497,0.35437328,0.051231794
0.08241922,0.08335858,0.0007636055,0.36117947,0.051361013
0.081602626,0.07543927,0.00075910904,0.353821,0.051271793
0.081118,0.066762455,0.0007514813,0.3498487,0.05117554
0.081097215,0.08360011,0.0007480937,0.3499761,0.051138658
0.08093397,0.08445264,0.0007441243,0.34865963,0.051103994
0.08095276,0.09810234,0.0007408558,0.34906763,0.05107991
0.080723755,0.09571124,0.0007374726,0.34708834,0.051045746
0.080720656,0.07499082,0.00073452643,0.34726983,0.051022463
0.08072016,0.10110426,0.0007312045,0.347228,0.05102693
0.08054188,0.064696975,0.0007285565,0.34579134,0.050988764
0.08004381,0.051669184,0.0007245452,0.34128678,0.05093631
0.08024705,0.073038526,0.00072143413,0.34353718,0.05091243
0.08286922,0.086465634,0.0007277592,0.36612543,0.051315438
0.08036871,0.0722428,0.0007202097,0.34330657,0.05107337
0.08000687,0.097173825,0.00071571534,0.34020364,0.051016595
0.07980486,0.07482347,0.0007113641,0.3386862,0.050961226
0.08001104,0.08997682,0.0007092296,0.34078038,0.050957866
0.07975688,0.098166406,0.000705262,0.33861977,0.05091597
0.08004306,0.08440041,0.000701817,0.34166744,0.050895706
0.07957402,0.07305118,0.00069811865,0.337445,0.05084412
0.07926141,0.07834876,0.0006949409,0.3346869,0.050803587
0.07912171,0.061773542,0.0006914998,0.3336742,0.050761268
0.07930075,0.050545137,0.0006885821,0.33571368,0.0507339
0.07900502,0.09348661,0.00068524573,0.332901,0.050718214
0.07998748,0.08889704,0.000680186,0.34258592,0.050734296
0.07868804,0.07508219,0.000677675,0.33102784,0.05057498
0.07856685,0.06634576,0.00067434774,0.3301856,0.050534282
0.07833268,0.07653713,0.0006715155,0.32807773,0.05050862
0.07827922,0.08281702,0.00066891697,0.32778412,0.050482128
0.07825232,0.09456135,0.0006656094,0.32768345,0.050463796
0.078394204,0.0555023,0.00066330004,0.32948261,0.050421797
0.078041375,0.077008195,0.0006602203,0.32620648,0.050394125
0.07813152,0.08778962,0.000657242,0.3271891,0.05038542
0.07792948,0.09928361,0.0006541067,0.32545626,0.050353833
0.07391375,0.08738575,0.00065175456,0.28660315,0.050209172
0.07376132,0.06638807,0.0006508558,0.2853229,0.050182164
0.0738317,0.094320364,0.00064950064,0.28592664,0.050193433
0.073822126,0.06553686,0.00064827356,0.2860191,0.05017265
0.073749274,0.074402325,0.0006473842,0.28537005,0.050163925
0.07374674,0.07664266,0.00064612523,0.28540924,0.0501569
0.07367836,0.072382286,0.00064473745,0.28485143,0.05014305
0.073645905,0.07105631,0.00064349384,0.28462857,0.050131883
0.07366817,0.07970965,0.0006423286,0.28489274,0.050127402
0.07352492,0.05851111,0.00064107147,0.28368688,0.050102368
0.073584884,0.070842266,0.000640087,0.28430575,0.05010034
0.0735082,0.07175039,0.00063876994,0.28362632,0.050090775
0.07341826,0.058733054,0.0006376044,0.28289065,0.050072704
0.07335025,0.055618074,0.0006364935,0.28230846,0.05006195
0.07329786,0.06625104,0.0006352839,0.281865,0.050053142
0.07334051,0.05009109,0.0006339586,0.28242546,0.050038412
0.07324678,0.080944866,0.00063288416,0.28147495,0.050039984
0.07324113,0.09017838,0.0006319553,0.28147194,0.050034158
0.07312423,0.08362704,0.00063054194,0.2804719,0.050015546
0.07307506,0.07655078,0.00062946393,0.2800809,0.050004475
0.07304416,0.07810771,0.0006280401,0.27985352,0.049995556
0.07301202,0.0658574,0.0006270257,0.27969778,0.049977258
0.07300958,0.08180385,0.00062568113,0.27964103,0.049981013
0.0729183,0.07103605,0.0006250561,0.27891615,0.049960203
0.07290907,0.061504714,0.00062379806,0.27897316,0.049943745
0.07288641,0.08491508,0.00062278827,0.2787417,0.049944405
0.07278049,0.07416791,0.00062132045,0.27780497,0.04993096
0.07274323,0.08187329,0.00062047155,0.27748173,0.049925566
0.07263081,0.0715516,0.00061922637,0.27655506,0.049903758
0.07267648,0.09823781,0.0006180854,0.27699125,0.049906157
0.072607614,0.0718394,0.00061705615,0.27646494,0.04988824
0.07255365,0.07344251,0.0006157787,0.27604258,0.049875345
0.07251894,0.08534257,0.000614914,0.27574965,0.049869426
0.07247834,0.06892126,0.00061385415,0.2754899,0.049853303
0.07244501,0.08883458,0.00061286875,0.27522266,0.04984606
0.07238415,0.093404815,0.0006115559,0.2746665,0.049840383
0.072367825,0.059738845,0.0006103071,0.2747108,0.049817465
0.07229197,0.06346658,0.0006092293,0.27404052,0.04980778
0.0722533,0.08182519,0.0006083407,0.27367583,0.049805425
0.07224557,0.0538215,0.00060723105,0.27378586,0.049784735
0.072190925,0.062272307,0.00060617627,0.27331123,0.04977688
0.07212335,0.06192842,0.0006052993,0.27271542,0.049768083
0.072097644,0.06651825,0.00060427655,0.27252305,0.049761012
0.07203469,0.06297913,0.00060324324,0.2720659,0.04974197
0.071991354,0.07610094,0.0006017812,0.27164304,0.049740974
0.071952134,0.06963068,0.0006013132,0.27138162,0.049726494
0.0719492,0.0981081,0.00059975666,0.27130634,0.04973177
0.071909584,0.06370133,0.0005988027,0.27117866,0.049702045
0.07182288,0.06439006,0.00059780385,0.27037075,0.049695592
0.07177537,0.079933345,0.00059700146,0.26994663,0.049690016
0.070721015,0.08889221,0.0005961632,0.2597455,0.049652047
0.070656724,0.07140423,0.0005957206,0.25921136,0.04964002
0.07065067,0.06834651,0.0005954587,0.25919616,0.049635
0.070646405,0.08056844,0.00059502566,0.25912136,0.04963862
0.07063057,0.04570897,0.00059457996,0.2591672,0.049615994
0.070618376,0.07921793,0.00059433054,0.2589081,0.04963126
0.07059412,0.07518482,0.00059397984,0.25873095,0.049624026
0.070573114,0.059663124,0.000593496,0.25861245,0.049613915
0.07056272,0.07586635,0.0005932534,0.25847366,0.049617812
0.07054001,0.07675714,0.00059288787,0.2582606,0.049616285
0.07053162,0.06811485,0.00059245015,0.25825357,0.049607795
0.070511475,0.05059827,0.0005920478,0.25815547,0.04959636
0.070498005,0.059382547,0.000591588,0.25802392,0.04959606
0.07048566,0.05534808,0.0005912236,0.2579353,0.049592234
0.0704576,0.060784638,0.00059091515,0.25770572,0.049586594
0.07044767,0.08097379,0.000590538,0.25754744,0.04959319
0.07043703,0.067211814,0.0005900819,0.25752828,0.049583554
0.07043667,0.08681468,0.0005897033,0.25748864,0.0495876
0.07040587,0.075397655,0.000589281,0.25726202,0.049578596
0.07040862,0.06017939,0.0005891273,0.25736904,0.049569782
0.070361756,0.05261136,0.00058854907,0.2569584,0.049563404
0.07035112,0.08277238,0.0005881721,0.25676095,0.049573556
0.07032658,0.08109892,0.0005877381,0.25657147,0.04956741
0.07032519,0.07669044,0.00058749504,0.2565885,0.04956399
0.07030654,0.076261796,0.0005870875,0.25645822,0.04955779
0.07029281,0.058653403,0.0005866966,0.2564067,0.049548298
0.07026445,0.07373477,0.0005862346,0.25611788,0.049548928
0.07027023,0.08380262,0.0005861059,0.25615203,0.049551576
0.07024194,0.08097541,0.00058564934,0.25591302,0.04954675
0.07020166,0.05581731,0.00058522524,0.2556718,0.049528845
0.07022177,0.07904059,0.0005850871,0.255809,0.049535956
0.07018818,0.06006659,0.0005845421,0.255572,0.049525023
0.07017356,0.059076615,0.0005840342,0.25544763,0.049522668
0.0701504,0.079793766,0.00058382144,0.25519776,0.049524713
0.070142016,0.07603169,0.00058345724,0.2551487,0.049520895
0.07014691,0.07008035,0.0005830606,0.25527096,0.04951279
0.07012141,0.07861667,0.000582757,0.25498968,0.049515735
0.07008978,0.05187195,0.0005822938,0.2548278,0.04949864
0.07008547,0.06881202,0.00058192475,0.25473946,0.049503706
0.07005604,0.065416746,0.0005814518,0.25450704,0.04949688
0.07005833,0.07570294,0.00058125326,0.25451216,0.049498886
0.07003653,0.069588214,0.0005807652,0.2543717,0.04949031
0.07002264,0.058437593,0.0005803853,0.2542992,0.049482986
0.06999366,0.06988854,0.00058012386,0.2540232,0.049481474
0.06998271,0.06387056,0.00057966163,0.2539404,0.04947856
0.06999788,0.08335197,0.00057935715,0.2540462,0.049483694
0.06997302,0.07748332,0.00057911384,0.25384542,0.04947841
0.06992458,0.06587705,0.0005785411,0.25349104,0.04946402
0.06993489,0.081987835,0.0005784114,0.253528,0.049471382
0.06989412,0.05953989,0.0005781244,0.25328547,0.04945306
0.069581956,0.07906283,0.0005775916,0.25021243,0.049447726
0.06955406,0.08515132,0.00057752756,0.24987604,0.04945412
0.06954307,0.07623555,0.0005774215,0.24984601,0.049445257
0.069537684,0.06594122,0.0005773485,0.24983613,0.049440376
0.069535345,0.067733236,0.0005770979,0.24981762,0.049439862
0.069528684,0.06657005,0.0005771196,0.24977843,0.049436815
0.06951699,0.062067363,0.0005769149,0.24965665,0.04943736
0.06951534,0.06710851,0.0005767989,0.24965431,0.04943581
0.06950532,0.05808466,0.0005767178,0.24961671,0.049428865
0.069513634,0.07144319,0.0005765185,0.24963784,0.049435776
0.06949819,0.064767174,0.00057643093,0.24950318,0.04943358
0.0694927,0.066735856,0.000576223,0.24944063,0.04943446
0.06948555,0.060087238,0.0005761832,0.24943653,0.04942698
0.06949832,0.10148049,0.0005759454,0.24942273,0.049442735
0.06948216,0.08265021,0.0005759626,0.24934389,0.049433537
0.06946588,0.05678564,0.00057583663,0.2492898,0.049421463
0.069465846,0.06500459,0.0005755661,0.24925825,0.04942497
0.06945492,0.06324828,0.0005755607,0.24916577,0.0494231
0.069457546,0.07323516,0.00057548634,0.24917427,0.049425077
0.06945564,0.07822631,0.0005752935,0.24914414,0.049426336
0.06945413,0.07814912,0.00057516457,0.24912828,0.04942643
0.0694462,0.080329955,0.00057514105,0.2490597,0.049425244
0.06943792,0.07177361,0.0005749764,0.24905479,0.04941661
0.06943042,0.058006316,0.0005748448,0.24901614,0.049412586
0.06943308,0.08334948,0.0005747012,0.24895424,0.049422428
0.06941199,0.05418182,0.00057437585,0.24885514,0.04941005
0.069408685,0.06599768,0.00057454454,0.24882366,0.04940985
0.06941221,0.08272521,0.0005744434,0.24878725,0.04941782
0.06939744,0.062286247,0.00057407084,0.24872759,0.049408086
0.069399014,0.06656205,0.0005741152,0.24874392,0.04940801
0.06939605,0.097275265,0.000573925,0.24858406,0.04942249
0.06938125,0.06350964,0.0005738103,0.24859929,0.04940438
